"2015-11"	53607614201.796776
"2015-8"	159744029578.03113
"2016-1"	56596270931.31685
"2016-10"	32112869584.914665
"2016-12"	50318068074.68128
"2016-3"	32797039087.356667
"2016-5"	23746277028.263245
"2016-7"	22629542449.24175
"2016-9"	25270403393.626083
"2017-11"	15312465314.693544
"2017-2"	23047230327.254303
"2017-4"	22355124545.395317
"2017-6"	30199442465.128727
"2017-8"	25905774673.990257
"2018-1"	52106060636.84502
"2018-10"	14526936383.350008
"2018-12"	16338844844.014668
"2018-3"	15549765961.743273
"2018-5"	17422505108.986416
"2018-7"	27506077453.154327
"2018-9"	15213870989.523378
"2019-2"	28940599438.14876
"2019-4"	11569797163.994152
"2019-6"	15076119023.332266
"2015-10"	53901692120.53661
"2015-12"	55899526672.35486
"2015-9"	56511301521.033226
"2016-11"	24634294365.279953
"2016-2"	69180681134.38849
"2016-4"	23361180502.721268
"2016-6"	23021251389.812134
"2016-8"	22396836435.95849
"2017-1"	22507570807.719795
"2017-10"	17506742628.97231
"2017-12"	33423472930.410748
"2017-3"	23232253600.81683
"2017-5"	23572314972.01526
"2017-7"	25460300456.232986
"2017-9"	30675106219.637596
"2018-11"	16034859008.681648
"2018-2"	23636574203.828976
"2018-4"	13153739247.92998
"2018-6"	16533308366.813036
"2018-8"	18483235826.894573
"2019-1"	14611816445.785303
"2019-3"	18083035519.522877
"2019-5"	14479858767.711182
