('2015-08', (4030960805570.0, 360218.0))
('2015-09', (6577868584193.0, 540131.0))
('2015-10', (6352827787297.0, 641355.0))
('2015-11', (7772752046929.0, 609518.0))
('2015-12', (8279271173937.0, 696716.0))
('2016-01', (9509622515878.0, 714548.0))
('2016-02', (12769672945336.0, 1005720.0))
('2016-03', (20066111443630.0, 1650559.0))
('2016-04', (28654861822851.0, 2097505.0))
('2016-05', (39311237605142.0, 2571039.0))
('2016-06', (49061031594690.0, 2217506.0))
('2016-07', (57786919611082.0, 1513357.0))
('2016-08', (59234534795662.0, 1345600.0))
('2016-09', (72600341869690.0, 1734328.0))
('2016-10', (87658236572825.0, 1117711.0))
('2016-11', (67812116442679.0, 2503838.0))
('2016-12', (77496935205604.0, 2699688.0))
('2017-01', (102282325084568.0, 2727947.0))
('2017-02', (130757112575887.0, 2177629.0))
('2017-03', (198044781241186.0, 2499731.0))
('2017-04', (284126014229797.0, 2568672.0))
('2017-05', (436460724525936.0, 3282000.0))
('2017-06', (752656695470601.0, 4110544.0))
('2017-07', (1200999266684616.0, 5492711.0))
('2017-08', (1790200849201658.0, 6157330.0))
('2017-09', (2481432368327849.0, 6419935.0))
('2017-10', (1885459218688474.0, 6243435.0))
('2017-11', (1457697972100907.0, 6503790.0))
('2017-12', (1753712331569158.0, 7602976.0))
('2018-01', (2281188940495787.0, 7743489.0))
('2018-02', (2895297998304151.0, 7621988.0))
('2018-03', (3208321357874551.0, 7540115.0))
('2018-04', (3163895606602080.0, 7673254.0))
('2018-05', (3271540170064034.0, 7772207.0))
('2018-06', (3322174039186059.0, 7804846.0))
('2018-07', (3438689513774835.0, 7799773.0))
('2018-08', (3525770967637325.0, 7771450.0))
('2018-09', (3239257170470205.0, 7782860.0))
('2018-10', (3168540540592017.0, 7595336.0))
('2018-11', (2893844101806584.0, 7395694.0))
('2018-12', (2335811289311401.0, 7790698.0))
('2019-01', (2650625285026055.0, 7608784.0))
('2019-02', (2586296838944139.0, 7628670.0))
('2019-03', (1871306263893841.0, 7515069.0))
('2019-04', (1875185187990232.0, 7501078.0))
('2019-05', (2006321344431032.0, 7804283.0))
('2019-06', (2064945483489737.0, 7799617.0))
