('2016-07', 2.1645507440666845e+17)
('2016-08', 1.715334295035914e+18)
('2016-09', 1.7437561047816138e+18)
('2016-10', 2.1547296303776922e+18)
('2016-11', 1.4718795065429478e+18)
('2016-12', 1.6424292271350182e+18)
('2017-01', 2.3326302544017347e+18)
('2017-02', 3.031542194635616e+18)
('2017-03', 7.51366019307687e+18)
('2017-04', 9.365151703394284e+18)
('2017-05', 2.1414999795367563e+19)
('2017-06', 5.233321085941121e+19)
('2017-07', 8.401119816057337e+19)
('2017-08', 1.2195815691977177e+20)
('2017-09', 1.2969332123853206e+20)
('2017-10', 1.0396763908388985e+20)
('2017-11', 9.291891745276897e+19)
('2017-12', 1.3896930342939245e+20)
('2018-01', 1.9112560779525092e+20)
('2018-02', 1.7966068669094894e+20)
('2018-03', 1.6324976740908827e+20)
('2018-04', 1.4750054472399285e+20)
('2018-05', 1.6335512552493462e+20)
('2018-06', 1.4200348717856947e+20)
('2018-07', 1.465140096646855e+20)
('2018-08', 1.3577078881636191e+20)
('2018-09', 1.2236647966917036e+20)
('2018-10', 1.106103518861691e+20)
('2018-11', 1.0110035948677305e+20)
('2018-12', 8.28078384182673e+19)
('2019-01', 8.190083939348629e+19)
('2019-02', 7.3201846324224156e+19)
('2019-03', 4.952467334849812e+19)
('2019-04', 5.511633596083749e+19)
('2019-05', 6.990279166612721e+19)
('2019-06', 6.6635601637985034e+19)
